actor_name,film_title,film_release_year,film_rental_duration,film_rental_rate,film_length,film_replacement_cost,film_rating,film_spec_features,film_category
PENELOPE GUINESS,ACADEMY DINOSAUR,2006,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",Documentary
PENELOPE GUINESS,ANACONDA CONFESSIONS,2006,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",Animation
PENELOPE GUINESS,ANGELS LIFE,2006,3,2.99,74,15.99,G,Trailers,New
PENELOPE GUINESS,BULWORTH COMMANDMENTS,2006,4,2.99,61,14.99,G,Trailers,Games
PENELOPE GUINESS,CHEAPER CLYDE,2006,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",Sci-Fi
PENELOPE GUINESS,COLOR PHILADELPHIA,2006,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",Classics
PENELOPE GUINESS,ELEPHANT TROJAN,2006,4,4.99,126,24.99,PG-13,Behind the Scenes,Horror
PENELOPE GUINESS,GLEAMING JAWBREAKER,2006,5,2.99,89,25.99,NC-17,"Trailers,Commentaries",Sports
PENELOPE GUINESS,HUMAN GRAFFITI,2006,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes",Games
PENELOPE GUINESS,KING EVOLUTION,2006,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",Family
PENELOPE GUINESS,LADY STAGE,2006,4,4.99,67,14.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",Horror
PENELOPE GUINESS,LANGUAGE COWBOY,2006,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes",Children
PENELOPE GUINESS,MULHOLLAND BEAST,2006,7,2.99,157,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",Foreign
PENELOPE GUINESS,OKLAHOMA JUMANJI,2006,7,0.99,58,15.99,PG,Behind the Scenes,New
PENELOPE GUINESS,RULES HUMAN,2006,6,4.99,153,19.99,R,"Deleted Scenes,Behind the Scenes",Horror
PENELOPE GUINESS,SPLASH GUMP,2006,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Family
PENELOPE GUINESS,VERTIGO NORTHWEST,2006,4,2.99,90,17.99,R,"Commentaries,Behind the Scenes",Comedy
PENELOPE GUINESS,WESTWARD SEABISCUIT,2006,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes",Classics
PENELOPE GUINESS,WIZARD COLDBLOODED,2006,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",Music
NICK WAHLBERG,ADAPTATION HOLES,2006,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",Documentary
NICK WAHLBERG,APACHE DIVINE,2006,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",Family
NICK WAHLBERG,BABY HALL,2006,5,4.99,153,23.99,NC-17,Commentaries,Foreign
NICK WAHLBERG,BULL SHAWSHANK,2006,6,0.99,125,21.99,NC-17,Deleted Scenes,Action
NICK WAHLBERG,CHAINSAW UPTOWN,2006,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes",Sci-Fi
NICK WAHLBERG,CHISUM BEHAVIOR,2006,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes",Family
NICK WAHLBERG,DESTINY SATURDAY,2006,4,4.99,56,20.99,G,"Trailers,Commentaries,Behind the Scenes",New
NICK WAHLBERG,DRACULA CRYSTAL,2006,7,0.99,176,26.99,G,Commentaries,Classics
NICK WAHLBERG,FIGHT JAWBREAKER,2006,3,0.99,91,13.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Animation
NICK WAHLBERG,FLASH WARS,2006,3,4.99,123,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",New
NICK WAHLBERG,GILBERT PELICAN,2006,7,0.99,114,13.99,G,"Trailers,Commentaries",Classics
NICK WAHLBERG,GOODFELLAS SALUTE,2006,4,4.99,56,22.99,PG,Deleted Scenes,Sci-Fi
NICK WAHLBERG,HAPPINESS UNITED,2006,6,2.99,100,23.99,G,Deleted Scenes,Foreign
NICK WAHLBERG,INDIAN LOVE,2006,4,0.99,135,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Family
